slug,humandate,start,end,tags,venue,address,latitude,longitude,url
2015-11-09-manchester,"Nov 09-10, 2015",2015-11-09,2015-11-10,SWC,University of Manchester,"PC Cluster 2 bay D, Stopford Building, Oxford Road, Manchester, M13 9PT",53.464141,-2.230779,https://anenadic.github.io/2015-11-09-manchester/
2015-10-29-Leeds-DC,"Oct 29-30, 2015",2015-10-29,2015-10-30,DC,University of Leeds,TBC,53.806485,-1.555022,https://hpcarcher.github.io/2015-10-29-Leeds-DC/
2015-10-08-ttt-ucl,"Oct 08-09, 2015",2015-10-08,2015-10-09,TTT,University College London,university college london,51.521885,-0.134077,https://anenadic.github.io/2015-10-08-instructor-training-ucl-london/
2015-09-28-oxford,"Sep 28-29, 2015",2015-09-28,2015-09-29,SWC,Department of Zoology,"South Parks Road, OX1 3PS",51.7590106,-1.2511766,https://jpallen.github.io/2015-09-28-oxford/
2015-09-17-southampton,"Sep 17-18, 2015",2015-09-17,2015-09-18,SWC,University of Southampton,"Room 3077, Building 32,",50.934039,-1.396167,https://southampton-rsg.github.io/2015-09-17-southampton/
2015-09-10-leeds,"Sep 10-11, 2015",2015-09-10,2015-09-11,SWC,The University of Leeds - Advanced Research Computing,"Liberty Building G33, University of Leeds Business School, LS6 1AN",53.808283,-1.562384,https://callaghanmt.github.io/2015-09-10-leeds/
2015-09-10-CAM,"Sep 10-11, 2015",2015-09-10,2015-09-11,DC,University of Cambridge,"Bioinformatics Training Room, Craik-Marshall Building, Downing Site",52.201951,0.122514,https://lgatto.github.io/2015-09-10-CAM/
2015-09-07-guildford,"Sep 07-08, 2015",2015-09-07,2015-09-08,SWC,University of Surrey,"University of Surrey, Guildford",51.24278,-0.58958,https://dpshelio.github.io/2015-09-07-guildford/
2015-08-26-leeds,"Aug 26-28, 2015",2015-08-26,2015-08-28,SWC,NERC / University of Leeds,"School of Earth and Environment, University of Leeds, Leeds, LS2 9JT",53.8057,-1.5557,https://andreww.github.io/2015-08-26-leeds/
2015-07-15-feltham,"Jul 15-17, 2015",2015-07-15,2015-07-17,SWC,SAP Headquarters near London Heathrow,"Clockhouse Place, Bedfont Road, Feltham, Middlesex TW14 8HD",51.449025,-0.445043,https://harnesscloud.github.io/2015-07-15-feltham/
2015-06-18-StAndrews,"Jun 18-19, 2015",2015-06-18,2015-06-19,SWC,University of St Andrews,"School of Physics and Astronomy, University of St Andrews, North Haugh, St Andrewws, KY16 9SS, Scotland",56.340085,-2.807146,https://lmwake.github.io/2015-06-18-StAndrews/
2015-06-18-ucl,"Jun 18-19, 2015",2015-06-18,2015-06-19,SWC,University College London,"Cruciform B115A Cluster, University College London",51.524559,-0.13404,https://ucl.github.io/2015-06-18-ucl-swcarpentry/
2015-06-15-cambridge,"Jun 15-16, 2015",2015-06-15,2015-06-16,SWC,University of Cambridge," Craik-Marshall Building, Downing Site, Cambridge",52.201965,0.122486,https://aaren.github.io/2015-06-15-cambridge/
2015-04-16-imperial,"Apr 16-17, 2015",2015-04-16,2015-04-17,SWC,Imperial College London,"Imperial College London, ICT Training Room, 204 Central Library Sherfield Building, Exhibition Road, South Kensington, London, SW7 2AZ",51.4988,-0.174877,https://hpcarcher.github.io/2015-04-16-imperial/
2015-02-25-ucl,"Feb 25-26, 2015",2015-02-25,2015-02-26,SWC,University College London,"1-19 Torrington Place, London",51.521882,-0.134084,https://ucl.github.io/2015-02-25/
2015-02-03-CDT-reg-medicine,"Feb 03-04, 2015",2015-02-03,2015-02-04,SWC,"EPSRC & MRC Centre for Doctoral Training in Regenerative Medicine, University of Manchester","Room C24 in the Sackville St Building, Sackville Street, Manchester",53.4773,-2.2374,https://apawlik.github.io/2015-02-03-CDT-reg-medicine/
2015-01-14-leeds,"Jan 14-15, 2015",2015-01-14,2015-01-15,SWC,NERC / University of Leeds,"School of Earth and Environment, University of Leeds, Leeds, LS2 9JT",53.8057,-1.5557,https://andreww.github.io/2015-01-14-leeds/
2015-01-14-oxford,"Jan 14-15, 2015",2015-01-14,2015-01-15,SWC,University of Oxford,"Atmospheric Oceanic and Planetary Physics Department, Dobson Room, Atmospheric Physics Building, Sherrington Road, Oxford",51.759155,-1.25596,https://jpallen.github.io/2015-01-14-oxford/
2015-01-13-oxford,"Jan 13-14, 2015",2015-01-13,2015-01-14,SWC,Oxford University,"Wellcome Trust for Human Genetics, Roosevelt Drive, Oxford, OX3 7BN",51.75211,-1.215238,https://philipwfowler.github.io/2015-01-13-oxford/
2014-12-11-ugsupa,"Dec 11-12, 2014",2014-12-11,2014-12-12,SWC,University of Glasgow,"Lab 323, Kelvin Building, G12 8SU",55.871709,-4.291651,https://supa-uk.github.io/2014-12-11-ugsupa/
2014-12-03-edinburgh,"Dec 03-04, 2014",2014-12-03,2014-12-04,SWC,The University of Edinburgh,"Room 3217, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh, EH9 3FD",55.921628,-3.174155,https://hpcarcher.github.io/2014-12-03-edinburgh/
2014-11-27-elixiruk-manchester,"Nov 27-28, 2014",2014-11-27,2014-11-28,SWC,University of Manchester,"Atlas 1-2 Room, Kilburn Building, Oxford Road, M13 9PL Manchester",53.467293,-2.233876,https://apawlik.github.io/2014-11-27-elixiruk-manchester/
2014-11-24-leeds,"Nov 24-25, 2014",2014-11-24,2014-11-25,SWC,NERC / University of Leeds,"Charles Thackrah Building, University of Leeds, Leeds, LS2 9JT",53.807,-1.5607,https://andreww.github.io/2014-11-24-leeds/
2014-11-17-liverpool,"Nov 17-18, 2014",2014-11-17,2014-11-18,SWC,University Of Liverpool,"Foresight Centre, 1 Brownlow Street, Liverpool, L69 3GL",53.4087914,-2.9723748,https://kkwakwa.github.io/2014-11-17-liverpool/
2014-11-10-manchester,"Nov 10-14, 2014",2014-11-10,2014-11-14,SWC,"The Nowgen Centre, University of Manchester","29 Grafton Street, Manchester, M13 9WU",53.463651,-2.227592,https://anenadic.github.io/2014-11-10-manchester/
2014-11-05-UCL,"Nov 05-06, 2014",2014-11-05,2014-11-06,SWC,University College London,"Gordon House 106 29 Gordon Square, London, WC1H 0PP",51.525004,-0.132013,https://ucl.github.io/2014-11-05-UCL/
2014-11-05-uclhep,"Nov 05-06, 2014",2014-11-05,2014-11-06,SWC,University College London,University College London,37.876889,-122.246693,http://cannot.find.url/2014-11-05-uclhep/
2014-09-16-imperial,"Sep 16-17, 2014",2014-09-16,2014-09-17,SWC,Imperial College London,"Room 1.51, Royal School of Mines (RSM) Building, South Kensington Campus, Imperial College London, London.",51.499471,-0.1764,https://hpcarcher.github.io/2014-09-16-imperial/
2014-08-26-cam,"Aug 26-27, 2014",2014-08-26,2014-08-27,SWC,Cambridge University,"Craik-Marshall Building, University of Cambridge, Downing Site, Cambridge, CB2 3AR",52.201893,0.12303,https://rbeagrie.github.io/2014-08-26-cam/
2014-07-21-cranfield,"Jul 21-23, 2014",2014-07-21,2014-07-23,SWC,Cranfield University,"Computer Teaching Suite (room 252), Whittle Building (building 52), College Road, Cranfield, MK43 0AL",52.074389,-0.629225,https://hpcarcher.github.io/2014-07-21-cranfield/
2014-07-10-Nottingham,"Jul 10-11, 2014",2014-07-10,2014-07-11,SWC,The University of Nottingham,"University Park, NG7 2RD, Nottingham",52.938636,-1.195158,https://DevasenaInupakutika.github.io/2014-07-10-Nottingham/
2014-06-25-Reading,"Jun 25-26, 2014",2014-06-25,2014-06-26,SWC,University of Reading,"Department of Meteorology, Whiteknights, Earley Gate,Reading, RG6 7BE, Berkshire",51.4419,-0.9456,https://DevasenaInupakutika.github.io/2014-06-25-Reading/
2014-05-19-ucl,"May 19-20, 2014",2014-05-19,2014-05-20,SWC,University College London,University College London,37.876889,-122.246693,http://cannot.find.url/2014-05-19-ucl/
2014-05-08-soton,"May 08-09, 2014",2014-05-08,2014-05-09,SWC,National Oceanography Centre,"Waterfront Campus, European Way, Southampton, Hampshire, SO14 3ZH",41.7901128,-87.6007318,https://DevasenaInupakutika.github.io/2014-05-08-soton/
2014-04-09-GARNET,"Apr 09-10, 2014",2014-04-09,2014-04-10,SWC,"GARNet, University of Warwick","School of Life Sciences on Gibbet Hill Campus, Coventry",52.3802961,-1.563937,https://apawlik.github.io/2014-04-09-GARNET/
2014-02-18-UCL,"Feb 18-19, 2014",2014-02-18,2014-02-19,SWC,University College London,London,51.5243625,-0.134475,https://apawlik.github.io/2014-02-18-UCL/
2014-02-03-TGAC,"Feb 03-04, 2014",2014-02-03,2014-02-04,SWC,The Genome Analysis Centre (TGAC),"Norwich Research Park, Norwich",52.6217629,-1.240993,https://apawlik.github.io/2014-02-03-TGAC/
2014-01-14-manchester,"Jan 14-15, 2014",2014-01-14,2014-01-15,SWC,University of Manchester,"Room IT407, Information Technology Building, University of Manchester, Oxford Road, M13 9PL",53.467972,-2.233154,https://apawlik.github.io/2014-01-14-manchester/
2014-01-07-cam,"Jan 07-08, 2014",2014-01-07,2014-01-08,SWC,"Centre for Mathematical Sciences, University of Cambridge","Wilberforce Road, Cambridge",52.209868,0.102439,https://sje30.github.io/2014-01-07-cam/
2013-12-16-dundee,"Dec 16-17, 2013",2013-12-16,2013-12-17,SWC,University of Dundee,"College of Life Sciences, University of Dundee, Dundee DD1 5EH",56.464,-2.97,https://davidmam.github.io/2013-12-16-dundee/
2013-12-12-glasgow,"Dec 12-12, 2013",2013-12-12,2013-12-12,SWC,University of Glasgow,"Room 320, Kelvin Building",55.87185,-4.29155,https://bendmorris.github.io/2013-12-12-glasgow/
2013-12-03-edinburgh,"Dec 03-04, 2013",2013-12-03,2013-12-04,SWC,The University of Edinburgh,"Room 3217, James Clark Maxwell Building, Kings Buildings, Mayfield Road, Edinburgh, EH9 3JZ",55.921628,-3.174155,https://mikej888.github.io/2013-12-03-edinburgh/
2013-11-14-exeter,"Nov 14-15, 2013",2013-11-14,2013-11-15,SWC,University Exeter,"Reed Hall, Streatham Drive, Exeter, Devon EX4 4QR",50.735788,-3.535033,https://chryswoods.github.io/2013-11-14-exeter/
2013-10-24-greenwich,"Oct 24-25, 2013",2013-10-24,2013-10-25,SWC,"Greenwich, England","11th Floor, Greenwich Digital Enterprise Centre, 6 Mitre Passage, London SE10 0ER",51.50066,0.00663,https://swcarpentry.github.io/2013-10-24-greenwich/
2013-09-27-ucl,"Sep 27-28, 2013",2013-09-27,2013-09-28,SWC,University College London,University College London,49.260605,-123.245994,http://cannot.find.url/2013-09-27-ucl/
2013-09-12-bristol,"Sep 12-13, 2013",2013-09-12,2013-09-13,SWC,University of Bristol, ,51.457971,-2.601474,https://swcarpentry.github.io/2013-09-12-bristol/
2013-07-15-bath,"Jul 15-16, 2013",2013-07-15,2013-07-16,SWC,University of Bath, ,51.3777431,-2.3263779,https://swcarpentry.github.io/2013-07-15-bath/
2013-06-03-southampton,"Jun 03-04, 2013",2013-06-03,2013-06-04,SWC,University of Southampton, ,50.937716,-1.395599,https://swcarpentry.github.io/2013-06-03-southampton/
2013-05-09-oxford,"May 09-10, 2013",2013-05-09,2013-05-10,SWC,University of Oxford, ,51.759865,-1.258648,https://swcarpentry.github.io/2013-05-09-oxford/
2013-04-18-manchester,"Apr 18-19, 2013",2013-04-18,2013-04-19,SWC,University of Manchester, ,53.4783491,-2.2416052,https://swcarpentry.github.io/2013-04-18-manchester/
2013-04-04-ucl,"Apr 04, 2013-???",2013-04-04,,SWC,University College London, ,51.524789,-0.133578,https://swcarpentry.github.io/2013-04-04-ucl/
2013-02-06-qmul,"Feb 06-07, 2013",2013-02-06,2013-02-07,SWC,Queen Mary University London,Queen Mary University London,49.260605,-123.245994,http://cannot.find.url/2013-02-06-qmul/
2012-12-04-edinburgh,"Dec 04-05, 2012",2012-12-04,2012-12-05,SWC,University of Edinburgh, ,55.9453279,-3.1911838,https://swcarpentry.github.io/2012-12-04-edinburgh/
2012-10-30-oxford,"Oct 30-31, 2012",2012-10-30,2012-10-31,SWC,Oxford University,New Biochemistry,51.7571373,-1.2569052,https://swcarpentry.github.io/2012-10-30-oxford/
2012-09-13-dafx,"Sep 13-14, 2012",2012-09-13,2012-09-14,SWC,DAFx Conference,University of York,53.9481933,-1.0529144,https://swcarpentry.github.io/2012-09-13-dafx/
2012-07-10-ral,"Jul 10-12, 2012",2012-07-10,2012-07-12,SWC,Rutherford Appleton Laboratory, ,51.573333,-1.314722, 
2012-05-14-newcastle,"May 14-15, 2012",2012-05-14,2012-05-15,SWC,Newcastle University, ,54.980095,-1.6146142,https://swcarpentry.github.io/2012-05-14-newcastle/
2012-04-30-ucl,"Apr 30-May 01, 2012",2012-04-30,2012-05-01,SWC,University College London, ,51.5598815,-0.1334579,https://swcarpentry.github.io/2012-04-30-ucl/
